Title,Bookmark,
Zion NP,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Annual%20Park%20Recreation%20Visitation%20(1904%20-%20Last%20Calendar%20Year),
,,
Year,RecreationVisitors,TotalRecreationVisitors
1919,"1,814","128,215,445"
1920,"3,692","128,215,445"
1921,"2,937","128,215,445"
1922,"4,109","128,215,445"
1923,"6,408","128,215,445"
1924,"8,400","128,215,445"
1925,"16,817","128,215,445"
1926,"21,964","128,215,445"
1927,"24,303","128,215,445"
1928,"30,016","128,215,445"
1929,"33,383","128,215,445"
1930,"55,297","128,215,445"
1931,"59,186","128,215,445"
1932,"51,650","128,215,445"
1933,"48,763","128,215,445"
1934,"68,801","128,215,445"
1935,"97,280","128,215,445"
1936,"124,393","128,215,445"
1937,"137,404","128,215,445"
1938,"149,075","128,215,445"
1939,"158,063","128,215,445"
1940,"165,029","128,215,445"
1941,"192,805","128,215,445"
1942,"68,797","128,215,445"
1943,"44,089","128,215,445"
1944,"42,243","128,215,445"
1945,"78,280","128,215,445"
1946,"212,280","128,215,445"
1947,"273,953","128,215,445"
1948,"297,571","128,215,445"
1949,"307,881","128,215,445"
1950,"323,402","128,215,445"
1951,"331,079","128,215,445"
1952,"352,921","128,215,445"
1953,"389,445","128,215,445"
1954,"416,800","128,215,445"
1955,"406,800","128,215,445"
1956,"421,200","128,215,445"
1957,"525,100","128,215,445"
1958,"590,700","128,215,445"
1959,"585,000","128,215,445"
1960,"575,800","128,215,445"
1961,"604,700","128,215,445"
1962,"622,100","128,215,445"
1963,"681,100","128,215,445"
1964,"705,200","128,215,445"
1965,"763,600","128,215,445"
1966,"815,200","128,215,445"
1967,"788,400","128,215,445"
1968,"877,100","128,215,445"
1969,"904,300","128,215,445"
1970,"903,600","128,215,445"
1971,"897,000","128,215,445"
1972,"889,417","128,215,445"
1973,"993,800","128,215,445"
1974,"859,300","128,215,445"
1975,"1,055,200","128,215,445"
1976,"1,090,000","128,215,445"
1977,"1,105,900","128,215,445"
1978,"1,193,212","128,215,445"
1979,"1,040,528","128,215,445"
1980,"1,123,846","128,215,445"
1981,"1,288,808","128,215,445"
1982,"1,246,290","128,215,445"
1983,"1,273,030","128,215,445"
1984,"1,377,254","128,215,445"
1985,"1,503,272","128,215,445"
1986,"1,670,503","128,215,445"
1987,"1,777,619","128,215,445"
1988,"1,948,332","128,215,445"
1989,"1,998,856","128,215,445"
1990,"2,102,400","128,215,445"
1991,"2,236,997","128,215,445"
1992,"2,390,626","128,215,445"
1993,"2,392,580","128,215,445"
1994,"2,270,871","128,215,445"
1995,"2,430,162","128,215,445"
1996,"2,498,001","128,215,445"
1997,"2,445,534","128,215,445"
1998,"2,370,048","128,215,445"
1999,"2,449,664","128,215,445"
2000,"2,432,348","128,215,445"
2001,"2,217,779","128,215,445"
2002,"2,592,545","128,215,445"
2003,"2,458,792","128,215,445"
2004,"2,677,342","128,215,445"
2005,"2,586,665","128,215,445"
2006,"2,567,350","128,215,445"
2007,"2,657,281","128,215,445"
2008,"2,690,154","128,215,445"
2009,"2,735,402","128,215,445"
2010,"2,665,972","128,215,445"
2011,"2,825,505","128,215,445"
2012,"2,973,607","128,215,445"
2013,"2,807,387","128,215,445"
2014,"3,189,696","128,215,445"
2015,"3,648,846","128,215,445"
2016,"4,295,127","128,215,445"
2017,"4,504,812","128,215,445"
2018,"4,320,033","128,215,445"
2019,"4,488,268","128,215,445"
2020,"3,591,254","128,215,445"
